GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
CAFETERA 40 TASAS ACTIF-031;152410 EQUIPOS;;31/12/2025;SALDO INICIAL;;;401.682,00;0,00;401.682,00
;Total 152410 EQUIPOS;;;;;;401.682,00;0,00;401.682,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;144.292,00;-144.292,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;144.292,00;-144.292,00
Total CAFETERA 40 TASAS ACTIF-031;;;;;;;401.682,00;144.292,00;257.390,00
ACTIF-044 IMPRESORA MULTIFUNSIONAL RICOH LASER SP 3710 EQIEWEQ;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.963.500,00;0,00;1.963.500,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.963.500,00;0,00;1.963.500,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.472.650,00;-1.472.650,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ACTIF-044 IMPRESORA MULTIFUNSIONAL RICOH LASER SP 3710;;(GCG) dp 96;0,00;29.453,00;-1.502.103,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ACTIF-044 IMPRESORA MULTIFUNSIONAL RICOH LASER SP 3710;;(GCG) dp 97;0,00;29.453,00;-1.531.556,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ACTIF-044 IMPRESORA MULTIFUNSIONAL RICOH LASER SP 3710;;(GCG) dp 98;0,00;29.453,00;-1.561.009,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.561.009,00;-1.561.009,00
Total ACTIF-044 IMPRESORA MULTIFUNSIONAL RICOH LASER SP 3710 EQIEWEQ;;;;;;;1.963.500,00;1.561.009,00;402.491,00
ANAQUEL METALICO ACTIF-143;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;892.500,00;0,00;892.500,00
;Total 152405 MUEBLES Y ENSERES;;;;;;892.500,00;0,00;892.500,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;33.470,00;-33.470,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ANAQUEL METALICO;;(GCG) dp 96;0,00;6.694,00;-40.164,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ANAQUEL METALICO;;(GCG) dp 97;0,00;6.694,00;-46.858,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ANAQUEL METALICO;;(GCG) dp 98;0,00;6.694,00;-53.552,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;53.552,00;-53.552,00
Total ANAQUEL METALICO ACTIF-143;;;;;;;892.500,00;53.552,00;838.948,00
