code,name,nature,is_auxiliary,parent_code
1,ACTIVO,DEBIT,false,
11,DISPONIBLE,DEBIT,false,1
1105,CAJA,DEBIT,false,11
1105.01,Caja General Bogota,DEBIT,true,1105
1110,BANCOS,DEBIT,false,11
1110.01,Bancolombia Cuenta Ahorros,DEBIT,true,1110
1110.02,Davivienda Cuenta Corriente,DEBIT,true,1110
13,DEUDORES,DEBIT,false,1
1305,CLIENTES,DEBIT,false,13
1305.01,Clientes Nacionales,DEBIT,true,1305
14,INVENTARIOS,DEBIT,false,1
1435,MERCANCIA NO FABRICADA,DEBIT,false,14
1435.01,Medicamentos Veterinarios,DEBIT,true,1435
15,PROPIEDAD PLANTA Y EQUIPO,DEBIT,false,1
1520,MAQUINARIA Y EQUIPO,DEBIT,false,15
1524,EQUIPO DE OFICINA,DEBIT,false,15
1528,EQUIPO DE COMPUTACION,DEBIT,false,15
2,PASIVO,CREDIT,false,
22,PROVEEDORES,CREDIT,false,2
2205,PROVEEDORES NACIONALES,CREDIT,true,22
23,CUENTAS POR PAGAR,CREDIT,false,2
2365,RETENCION EN LA FUENTE,CREDIT,true,23
2367,IVA POR PAGAR,CREDIT,true,23
25,OBLIGACIONES LABORALES,CREDIT,false,2
2505,SALARIOS POR PAGAR,CREDIT,true,25
2510,CESANTIAS CONSOLIDADAS,CREDIT,true,25
3,PATRIMONIO,CREDIT,false,
31,CAPITAL SOCIAL,CREDIT,false,3
3105,CAPITAL SUSCRITO Y PAGADO,CREDIT,true,31
4,INGRESOS,CREDIT,false,
41,OPERACIONALES,CREDIT,false,4
4135,COMERCIO AL POR MAYOR Y MENOR,CREDIT,true,41
5,GASTOS,DEBIT,false,
51,OPERACIONALES DE ADMINISTRACION,DEBIT,false,5
5105,GASTOS DE PERSONAL,DEBIT,true,51
5110,HONORARIOS,DEBIT,true,51
5120,ARRENDAMIENTOS,DEBIT,true,51
5135,SERVICIOS,DEBIT,true,51
6,COSTOS,DEBIT,false,
61,COSTO DE VENTAS,DEBIT,false,6
6135,COMERCIO AL POR MAYOR Y MENOR,DEBIT,true,61
